Player,Club,Goals
Zlatko Zahovic,Olympiacos FC,2
Zlatko Zahovic,Valencia CF,1
Ricardo Quaresma,FC Porto,7
Ricardo Quaresma,Besiktas JK,3
Wissam Ben Yedder,Sevilla FC,10
Jefferson Farfan,PSV Eindhoven,4
Jefferson Farfan,FC Schalke 04,5
Jefferson Farfan,FC Lokomotiv Moskva,1
Luis Garcia,Liverpool FC,10
Ilkay Gundogan,Borussia Dortmund,1
Ilkay Gundogan,Manchester City FC,9
David Silva,Valencia CF,2
David Silva,Manchester City FC,8
Joshua Kimmich,FC Bayern Munchen,10
Saul Niguez,Club Atletico de Madrid,10
Saul Niguez,Chelsea FC,0
Ivica Olic,PFC CSKA Moskva,1
Ivica Olic,FC Bayern Munchen,9
Ivan Rakitic,FC Barcelona,6
Ivan Rakitic,Sevilla FC,4
Rodrygo,Real Madrid CF,10
Dusan Tadic,AFC Ajax,10
John Terry,Chelsea FC,10
Christian Vieri,Juventus,4
Christian Vieri,FC Internazionale Milano,6
Mirko Vucinic,AS Roma,8
Mirko Vucinic,Juventus,2
